ROC memory log C:\Users\ThinkPad\Downloads\TimothyMasters\CompiledProgs\MEM.LOG  10/3/22  21:58:17
Alloc=5378816:0  8192 bytes  1 allocs  total memory=0 MB
Alloc=5387056:0  8192 bytes  2 allocs  total memory=0 MB
Alloc=5395296:0  16384 bytes  3 allocs  total memory=0 MB
Alloc=5411728:0  16384 bytes  4 allocs  total memory=0 MB
Alloc=5428160:0  16384 bytes  5 allocs  total memory=0 MB
Alloc=5444592:0  16384 bytes  6 allocs  total memory=0 MB
Alloc=5461024:0  16384 bytes  7 allocs  total memory=0 MB
Alloc=5477456:0  16384 bytes  8 allocs  total memory=0 MB
Alloc=5493888:0  16384 bytes  9 allocs  total memory=0 MB
Alloc=5510320:0  16384 bytes  10 allocs  total memory=0 MB
Alloc=5526752:0  16384 bytes  11 allocs  total memory=0 MB
Alloc=5543184:0  16384 bytes  12 allocs  total memory=0 MB
Realloc=5378816:0 (5559616:0)  16384 bytes  total=0 MB
Realloc=5395296:0 (5576048:0)  32768 bytes  total=0 MB
Realloc=5411728:0 (5608864:0)  32768 bytes  total=0 MB
Realloc=5428160:0 (5395296:0)  32768 bytes  total=0 MB
Realloc=5444592:0 (5641680:0)  32768 bytes  total=0 MB
Realloc=5559616:0 (5428112:0)  24576 bytes  total=0 MB
Realloc=5576048:0 (5674496:0)  49152 bytes  total=0 MB
Realloc=5608864:0 (5559616:0)  49152 bytes  total=0 MB
Realloc=5395296:0 (5723696:0)  49152 bytes  total=0 MB
Realloc=5641680:0 (5772896:0)  49152 bytes  total=0 MB
Realloc=5428112:0 (5428112:0)  32768 bytes  total=0 MB
Realloc=5674496:0 (5608816:0)  65536 bytes  total=0 MB
Realloc=5559616:0 (5822096:0)  65536 bytes  total=0 MB
Realloc=5723696:0 (5887680:0)  65536 bytes  total=0 MB
Realloc=5772896:0 (5674400:0)  65536 bytes  total=0 MB
Realloc=5428112:0 (5559616:0)  40960 bytes  total=0 MB
Realloc=5608816:0 (5739984:0)  81920 bytes  total=0 MB
Realloc=5822096:0 (5953264:0)  81920 bytes  total=0 MB
Realloc=5887680:0 (6035232:0)  81920 bytes  total=0 MB
Realloc=5674400:0 (5821952:0)  81920 bytes  total=0 MB
Realloc=5559616:0 (5559616:0)  49152 bytes  total=0 MB
Realloc=5739984:0 (5608816:0)  98304 bytes  total=0 MB
Realloc=5953264:0 (5707168:0)  98304 bytes  total=0 MB
Realloc=6035232:0 (6035232:0)  98304 bytes  total=0 MB
Realloc=5821952:0 (5821952:0)  98304 bytes  total=0 MB
Realloc=5559616:0 (5395296:0)  57344 bytes  total=0 MB
Realloc=5608816:0 (5920304:0)  114688 bytes  total=0 MB
Realloc=5707168:0 (5707168:0)  114688 bytes  total=0 MB
Realloc=6035232:0 (6035232:0)  114688 bytes  total=0 MB
Realloc=5821952:0 (5559616:0)  114688 bytes  total=0 MB
Realloc=5395296:0 (5395296:0)  65536 bytes  total=0 MB
Realloc=5920304:0 (6149968:0)  131072 bytes  total=0 MB
Realloc=5707168:0 (5707168:0)  131072 bytes  total=0 MB
Realloc=6035232:0 (6281088:0)  131072 bytes  total=0 MB
Realloc=5559616:0 (5559616:0)  131072 bytes  total=0 MB
Realloc=5387056:0 (5690736:0)  16384 bytes  total=0 MB
Realloc=5461024:0 (5838288:0)  32768 bytes  total=0 MB
Realloc=5477456:0 (5871104:0)  32768 bytes  total=0 MB
Realloc=5493888:0 (5460880:0)  32768 bytes  total=0 MB
Realloc=5510320:0 (5903920:0)  32768 bytes  total=0 MB
Realloc=5526752:0 (5493696:0)  32768 bytes  total=0 MB
Realloc=5543184:0 (5936736:0)  32768 bytes  total=0 MB
Realloc=5690736:0 (5526512:0)  24576 bytes  total=0 MB
Realloc=5838288:0 (5969552:0)  49152 bytes  total=0 MB
Realloc=5871104:0 (6018752:0)  49152 bytes  total=0 MB
Realloc=5460880:0 (5838288:0)  49152 bytes  total=0 MB
Realloc=5903920:0 (6067952:0)  49152 bytes  total=0 MB
Realloc=5493696:0 (5887488:0)  49152 bytes  total=0 MB
Realloc=5936736:0 (5460880:0)  49152 bytes  total=0 MB
Realloc=5526512:0 (5526512:0)  32768 bytes  total=0 MB
Realloc=5969552:0 (6422672:0)  65536 bytes  total=0 MB
Realloc=6018752:0 (5936688:0)  65536 bytes  total=0 MB
Realloc=5838288:0 (6002272:0)  65536 bytes  total=0 MB
Realloc=6067952:0 (6067952:0)  65536 bytes  total=0 MB
Realloc=5887488:0 (6488256:0)  65536 bytes  total=0 MB
Realloc=5460880:0 (5460880:0)  65536 bytes  total=0 MB
Realloc=5526512:0 (5838288:0)  40960 bytes  total=0 MB
Realloc=6422672:0 (6553840:0)  81920 bytes  total=0 MB
Realloc=5936688:0 (6635808:0)  81920 bytes  total=1 MB
Realloc=6002272:0 (5879296:0)  81920 bytes  total=1 MB
Realloc=6067952:0 (6067952:0)  81920 bytes  total=1 MB
Realloc=6488256:0 (5961264:0)  81920 bytes  total=1 MB
Realloc=5460880:0 (5460880:0)  81920 bytes  total=1 MB
Realloc=5838288:0 (6422672:0)  49152 bytes  total=1 MB
Realloc=6553840:0 (6717776:0)  98304 bytes  total=1 MB
Realloc=6635808:0 (6471872:0)  98304 bytes  total=1 MB
Realloc=5879296:0 (6570224:0)  98304 bytes  total=1 MB
Realloc=6067952:0 (5838288:0)  98304 bytes  total=1 MB
Realloc=5961264:0 (5961264:0)  98304 bytes  total=1 MB
Realloc=5460880:0 (5460880:0)  98304 bytes  total=1 MB
Realloc=6422672:0 (6059616:0)  57344 bytes  total=1 MB
Realloc=6717776:0 (6717776:0)  114688 bytes  total=1 MB
Realloc=6471872:0 (6832512:0)  114688 bytes  total=1 MB
Realloc=6570224:0 (6570224:0)  114688 bytes  total=1 MB
Realloc=5838288:0 (5838288:0)  114688 bytes  total=1 MB
Realloc=5961264:0 (6422672:0)  114688 bytes  total=1 MB
Realloc=5460880:0 (6947248:0)  114688 bytes  total=1 MB
Realloc=6059616:0 (6059616:0)  65536 bytes  total=1 MB
Realloc=6717776:0 (7061984:0)  131072 bytes  total=1 MB
Realloc=6832512:0 (6684960:0)  131072 bytes  total=1 MB
Realloc=6570224:0 (6816080:0)  131072 bytes  total=1 MB
Realloc=5838288:0 (5838288:0)  131072 bytes  total=1 MB
Realloc=6422672:0 (6422672:0)  131072 bytes  total=1 MB
Realloc=6947248:0 (6553792:0)  131072 bytes  total=1 MB
Realloc=6059616:0 (6059616:0)  73728 bytes  total=1 MB
Realloc=7061984:0 (7061984:0)  147456 bytes  total=1 MB
Realloc=6684960:0 (7209488:0)  147456 bytes  total=1 MB
Realloc=6816080:0 (6816080:0)  147456 bytes  total=1 MB
Realloc=5838288:0 (5838288:0)  147456 bytes  total=1 MB
Realloc=6422672:0 (7471248:0)  147456 bytes  total=1 MB
Realloc=6553792:0 (6553792:0)  147456 bytes  total=1 MB
Realloc=6059616:0 (6059616:0)  81920 bytes  total=1 MB
Realloc=7061984:0 (7618752:0)  163840 bytes  total=1 MB
Realloc=7209488:0 (6963584:0)  163840 bytes  total=1 MB
Realloc=6816080:0 (7127472:0)  163840 bytes  total=1 MB
Realloc=5838288:0 (5838288:0)  163840 bytes  total=1 MB
Realloc=7471248:0 (6701296:0)  163840 bytes  total=1 MB
Realloc=6553792:0 (7782640:0)  163840 bytes  total=1 MB
Realloc=6059616:0 (6059616:0)  90112 bytes  total=1 MB
Realloc=7618752:0 (6422672:0)  180224 bytes  total=1 MB
Realloc=6963584:0 (7471248:0)  180224 bytes  total=1 MB
Realloc=7127472:0 (7127472:0)  180224 bytes  total=1 MB
Realloc=5838288:0 (5838288:0)  180224 bytes  total=1 MB
Realloc=6701296:0 (6701296:0)  180224 bytes  total=1 MB
Realloc=7782640:0 (6881568:0)  180224 bytes  total=1 MB
Realloc=6059616:0 (6602944:0)  98304 bytes  total=1 MB
Realloc=6422672:0 (7651520:0)  196608 bytes  total=1 MB
Realloc=7471248:0 (7848176:0)  196608 bytes  total=1 MB
Realloc=7127472:0 (7127472:0)  196608 bytes  total=1 MB
Realloc=5838288:0 (5838288:0)  196608 bytes  total=1 MB
Realloc=6701296:0 (8044832:0)  196608 bytes  total=1 MB
Realloc=6881568:0 (6881568:0)  196608 bytes  total=1 MB
Free=5395296:0  11 allocs  total memory=1 MB
Free=6602944:0  10 allocs  total memory=1 MB
Free=6149968:0  9 allocs  total memory=1 MB
Free=5707168:0  8 allocs  total memory=1 MB
Free=6281088:0  7 allocs  total memory=1 MB
Free=5559616:0  6 allocs  total memory=1 MB
Free=7651520:0  5 allocs  total memory=0 MB
Free=7848176:0  4 allocs  total memory=0 MB
Free=7127472:0  3 allocs  total memory=0 MB
Free=5838288:0  2 allocs  total memory=0 MB
Free=8044832:0  1 allocs  total memory=0 MB
Free=6881568:0  0 allocs  total memory=0 MB
Max memory use=1 MB  Dangling allocs=0
